,sharePrice_change,percentYearIncrease,percentYearIncrease_change,market_cap,market_cap_change,analystRecommend,analystRecommend_change,totalSentiment,totalSentiment_change,cnnP/S,cnnP/S_change,popularity,popularity_change,relevance,relevance_change,ytdPercent,ytdPercent_change,yahooOutlookLevel,yahooOutlookLevel_change,fair_value,fair_value_change,guruRating,guruRating_change,sector,industry,sectorSuccess,sectorSuccess_change,5-Year EBITDA Growth Rate,5-Year EBITDA Growth Rate_change,Altman Z-Score,Altman Z-Score_change,Beneish M-Score,Beneish M-Score_change,Book Value per Share,Book Value per Share_change,Cash per Share,Cash per Share_change,Dividends per Share,Dividends per Share_change,E10,E10_change,Earnings per Share (Diluted),Earnings per Share (Diluted)_change,EBIT per Share,EBIT per Share_change,EBITDA per Share,EBITDA per Share_change,EPS without NRI,EPS without NRI_change,FFO per Share,FFO per Share_change,Financial Strength,Financial Strength_change,Float Percentage Of Total Shares Outstanding,Float Percentage Of Total Shares Outstanding_change,Free Cash Flow per Share,Free Cash Flow per Share_change,Insider Ownership,Insider Ownership_change,Institutional Ownership,Institutional Ownership_change,Net Cash per Share,Net Cash per Share_change,Net Current Asset Value,Net Current Asset Value_change,Net-Net Working Capital,Net-Net Working Capital_change,Owner Earnings per Share (TTM),Owner Earnings per Share (TTM)_change,Piotroski F-Score,Piotroski F-Score_change,Predictability Rank_change,Profitability Rank,Profitability Rank_change,Quality Rank_change,Revenue per Share,Revenue per Share_change,Scaled Net Operating Assets,Scaled Net Operating Assets_change,Short Interest_change,Short Percentage of Float_change,Tangible Book per Share,Tangible Book per Share_change,Total Debt per Share,Total Debt per Share_change,Valuation Rank_change,YoY EBITDA Growth,YoY EBITDA Growth_change,YoY EPS Growth,YoY EPS Growth_change,YoY Rev. per Sh. Growth,YoY Rev. per Sh. Growth_change,Asset Turnover_change,Buyback Yield %,Buyback Yield %_change,Cash Conversion Cycle,Cash Conversion Cycle_change,COGS-to-Revenue_change,Current Ratio,Current Ratio_change,Days Inventory,Days Inventory_change,Days Payable,Days Payable_change,Days Sales Outstanding,Days Sales Outstanding_change,Debt-to-Asset,Debt-to-Asset_change,Debt-to-EBITDA,Debt-to-EBITDA_change,Debt-to-Equity,Debt-to-Equity_change,Debt-to-Revenue,Debt-to-Revenue_change,Earnings Yield %,Earnings Yield %_change,Earnings Yield (Joel Greenblatt) %,Earnings Yield (Joel Greenblatt) %_change,Effective Interest Rate on Debt %,Effective Interest Rate on Debt %_change,Equity-to-Asset,Equity-to-Asset_change,EV-to-EBIT,EV-to-EBIT_change,EV-to-EBITDA,EV-to-EBITDA_change,EV-to-Revenue,EV-to-Revenue_change,Forward PE Ratio,Forward PE Ratio_change,Forward Rate of Return (Yacktman) %,Forward Rate of Return (Yacktman) %_change,Goodwill-to-Asset,Goodwill-to-Asset_change,Gross-Profit-to-Asset %,Gross-Profit-to-Asset %_change,Inventory Turnover,Inventory Turnover_change,Inventory-to-Revenue,Inventory-to-Revenue_change,LT-Debt-to-Total-Asset,LT-Debt-to-Total-Asset_change,PB Ratio,PB Ratio_change,PE Ratio,PE Ratio_change,PE Ratio without NRI,PE Ratio without NRI_change,PEG Ratio,PEG Ratio_change,Price-to-Free-Cash-Flow,Price-to-Free-Cash-Flow_change,Price-to-Funds-From-Operations,Price-to-Funds-From-Operations_change,Price-to-Operating-Cash-Flow,Price-to-Operating-Cash-Flow_change,Price-to-Owner-Earnings,Price-to-Owner-Earnings_change,Price-to-Tangible-Book,Price-to-Tangible-Book_change,PS Ratio,PS Ratio_change,Quick Ratio,Quick Ratio_change,Return-on-Tangible-Asset,Return-on-Tangible-Asset_change,ROA %,ROA %_change,ROC %,ROC %_change,ROC (Joel Greenblatt) %,ROC (Joel Greenblatt) %_change,ROCE %,ROCE %_change,ROE %,ROE %_change,ROE % Adjusted to Book Value,ROE % Adjusted to Book Value_change,ROIC %,ROIC %_change,Shares Buyback Ratio %,Shares Buyback Ratio %_change,Shiller PE Ratio,Shiller PE Ratio_change,Short Ratio_change,Sloan Ratio %,Sloan Ratio %_change,WACC %,WACC %_change,FCF Margin %,FCF Margin %_change,Gross Margin %,Gross Margin %_change,Net Interest Margin (Bank Only) %,Net Interest Margin (Bank Only) %_change,Net Margin %,Net Margin %_change,Operating Margin %,Operating Margin %_change,s&p_change
PEAK,0.034724337496192526,0.3617757743,-0.013731343317272672,17918000000,0.08050413073629621,13.41640786,0.0,0.1124089342,0.20820676052665416,10.35,0.0,0.8891780303,0.0,332,0.0,13.3,0.4301075268817204,3,0.0,-1,-0.0,1.0,0.0,6,6,18,0.0,-3.8,-0.0,1.21,0.052173913043478314,-2.38,-0.0,12.61,0.0,0.08,0.0,1.48,0.0,1.24,0.0,0.78,0.0,0.84,0.0,2.15,0.0,0.47,0.0,1.13,0.0,3,0.0,63.14,0.0,1.42,0.0,0.88,0.0,75.86,0.0,-16.88,-0.0,-11.43,-0.0,-16.82,-0.0,1.37,0.0,6.0,0.0,0,6,0.0,0,3.1,0.0,0.87,0.0,0,0,11.64,0.0,12.03,0.0,0,-74.85,-0.0,200.0,0.0,47.54,0.0,-0.0,-5.72,-0.03703703703703714,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,14.82,0.0,0.95,0.0,0.0,0.0,2.27,-0.04621848739495793,1.87,0.0,2.83,0.0,0.43,0.0,58.45,0.03268551236749119,22.49,0.03259871441689611,15.49,0.032666666666666684,54.46,0.04710632570659494,2.79,0.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2.72,0.04615384615384619,44.0,0.04886769964243139,73.02,0.04883654122378614,0.0,0.0,24.24,0.04889658156642142,30.48,0.04886441844459745,24.24,0.04889658156642142,25.05,0.04899497487437193,2.95,0.04982206405693954,11.06,0.04933586337760924,1.43,0.0,3.82,0.0,3.7,0.0,1.7,0.0,-19.97,-0.0,-1.33,-0.0,8.58,0.0,3.58,0.0,1.7,0.0,-6.57,-0.0,27.68,0.04888215233042816,0,4.16,0.0,5.18,-0.003846153846153935,-172.95,-0.0,-76.83,-0.0,0.0,0.0,-115.77,-0.0,-46.73,-0.0,0.016130646275355952
V,0.006952660442000203,0.9035577271999999,-0.006078675026861489,490634000000,0.008269456032551735,32.01562119,0.0,0.10149242060000001,0.23925791778767275,20.35,0.0,3.030866402,0.007603191545699533,6123,0.005914243469689502,3.2,2.047619047619048,3,0.0,-1,-0.0,5.0,0.0,6,18,18,0.0,15.0,0.0,8.35,0.02078239608801955,-2.38,-0.0,15.42,0.0,8.18,0.0,1.22,0.0,3.12,0.0,4.84,0.0,6.37,0.0,6.73,0.0,4.84,0.0,0.0,0.0,6,0.0,79.31,0.0,4.24,0.0,0.08,0.0,79.68,0.0,-11.2,-0.0,-9.14,-0.0,-12.28,-0.0,1.09,0.0,4.0,0.0,0,9,0.0,0,9.7,0.0,0.5,0.0,0,0,-4.86,-0.0,9.55,0.0,0,-2.62,-0.0,-2.74,-0.0,-4.37,-0.0,0.0,1.5,-0.025974025974025997,14.93,0.0,0.0,2.12,0.0,0.0,0.0,12.06,0.0,26.99,0.0,0.26,0.0,1.29,0.0,0.56,0.0,0.93,0.0,2.13,-0.02293577981651388,2.88,0.0,2.41,0.0,0.47,0.0,36.03,0.024452658515780476,34.14,0.02430243024302437,23.66,0.024242424242424187,41.58,0.0223752151462994,17.74,0.0,0.2,0.0,22.48,0.0,0.0,0.0,0.0,0.0,0.26,0.0,14.75,0.02430555555555553,46.99,0.02464020933275191,46.99,0.02464020933275191,3.13,0.022875816993464,53.64,0.024641833810888237,0.0,0.0,49.89,0.024645717806531176,208.67,0.024650135035600203,0.0,0.0,23.44,0.024475524475524577,2.12,0.0,34.3,0.0,15.5,0.0,20.63,0.0,570.13,0.0,23.11,0.0,33.85,0.0,2.39,0.0,20.63,0.0,0.59,0.0,72.9,0.02459592410400562,0,-1.07,-0.0,7.3,-0.008152173913043546,58.96,0.0,79.71,0.0,0.0,0.0,54.97,0.0,67.61,0.0,0.016130646275355952
RAD,-0.08503937007874021,0.151575871,1.1166971927210325,958696000,-0.21739102040816327,-2.236067977,-0.0,0.06667546409,-0.3806917679325101,0.04,0.3333333333333334,0.6868055556,-0.2662333807692307,161176,0.0035740526269909464,11.62,-0.4862953138815208,-6,1.0,-1,-0.0,1.0,0.0,16,116,1,0.0,0.0,0.0,2.0,-0.00990099009900991,-2.37,-0.1056603773584905,11.14,0.008144796380090484,2.91,2.1630434782608696,0.0,0.0,4.71,0.1322115384615384,-1.7,-0.771505376344086,1.5,-0.35064935064935066,7.59,-0.1007109004739336,-1.87,-0.7650753768844221,0.0,0.0,3,0.0,88.94,0.0,-3.83,0.41851851851851846,32.44,0.0,57.05,0.0,-154.99,-0.023315898922427303,-92.8,0.05334846765039731,-118.25,0.012241054613936028,-0.35,-0.9464012251148546,4.0,-0.2,0,5,0.0,0,447.47,0.006228918371936224,0.73,0.013888888888888902,0,0,-15.09,0.057463209530483554,116.48,0.0070026800380392695,0,-32.1,0.11924686192468625,94.41,-2.029889822188284,2.59,-0.7636861313868614,-0.015625000000000014,0.0,0.0,33.69,-0.07975962851679874,0.012500000000000011,1.38,-0.07382550335570476,36.66,0.009917355371900811,27.9,0.024981631153563548,24.93,-0.09444242644387946,0.69,0.014705882352941025,16.67,0.4495652173913045,10.46,-0.0009551098376313072,0.27,0.03846153846153849,0.0,0.0,1.1,-0.3714285714285714,3.12,0.0032154340836013607,0.07,0.0,89.65,0.5036900369003692,17.82,0.09191176470588235,0.3,-0.03225806451612906,0.0,0.0,0.0,0.0,0.12,0.0,48.71,-0.035827395091053094,2.49,-0.007968127490039672,0.32,0.0,0.63,0.0,1.63,-0.05232558139534888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.53,2.1808641975308642,0.0,0.0,0.0,0.0,0.04,0.0,0.66,-0.11999999999999995,-0.93,-5.42857142857143,-0.79,-5.388888888888889,-1.49,-1.6422413793103448,1.35,-0.6484375,1.12,-0.6521739130434783,-12.07,-5.235087719298245,-6.86,-3.8702928870292883,-1.49,-1.6422413793103448,-0.93,0.3098591549295776,3.86,-0.15720524017467252,0,-1.06,-0.8026070763500932,9.81,-0.316376306620209,4.9,0.967871485943775,19.31,-0.018301982714794253,0.0,0.0,-0.31,-5.428571428571428,-0.76,-2.0,0.016130646275355952
DNN,-0.07301792452830187,-0.2440256064,0.0679611653969586,799592000,-0.07661216283476897,7.937253932999999,0.0,0.07690397774,-0.19699462730881276,38.53,0.0,5.299103556,0.5044895645085443,1607,0.01967005076142132,59.97,-0.07181550843522676,-3,-3.0,-1,-0.0,1.0,0.0,13,99,7,0.75,33.8,0.0,1.7,-0.01734104046242776,-3.02,-0.0,0.26,0.0,0.05,0.0,0.0,0.0,-0.12,-0.0,-0.02,-0.0,-0.02,-0.0,-0.01,-0.0,-0.02,-0.0,0.0,0.0,7,-0.125,0.0,0.0,-0.02,-0.0,0.0,0.0,11.79,0.0,-0.06,-0.0,-0.05,-0.0,-0.06,-0.0,-0.01,-0.0,5.0,0.0,0,2,0.0,0,0.02,0.0,0.65,0.0,0,0,0.26,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.05,0.0,0.0,4.17,0.0,97.44,0.0,0.0,0.0,58.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.64,-0.0,0.0,0.0,0.71,0.0,-78.37,-0.004193138500635302,-162.59,-0.004042879019908095,75.12,-0.003977724741447854,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.94,0.0,0.73,0.0,0.0,0.0,4.04,-0.01463414634146332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,-0.01463414634146332,62.06,-0.013981569748967198,3.92,0.0,-4.09,-0.0,-4.09,-0.0,-13.27,-0.0,-3.05,-0.0,-2.65,-0.0,-5.81,-0.0,-2.33,-0.0,-13.27,-0.0,-13.7,-0.0,0.0,0.0,0,-0.88,-0.0,15.23,0.02628032345013481,-125.31,-0.0,31.44,0.0,0.0,0.0,-75.6,-0.0,-191.72,-0.0,0.016130646275355952
TRQ,-0.01740076128330616,1.591263954,0.02786724920824733,3605000000,-0.02541227358745607,7.937253932999999,0.0,0.1030070807,0.21804396776063223,2.32,0.0,1.159046353,-0.5638307765082369,6731,0.0127896479085164,45.33,-0.08461227786752837,0,-1.0,1,0.0,1.0,0.0,13,99,7,0.75,0.0,0.0,0.3,-0.09090909090909098,-0.18,-0.0,47.59,0.0,5.58,0.0,0.0,0.0,-0.28,-0.0,2.14,0.0,0.95,0.0,1.4,0.0,2.14,0.0,0.0,0.0,5,0.0,92.73,0.0,-5.13,-0.0,0.0,0.0,22.76,0.0,-13.26,-0.0,-11.35,-0.0,-12.58,-0.0,-1.96,-0.0050761421319797,6.0,0.0,0,4,0.0,0,5.36,0.0,0.88,0.0,0,0,47.59,0.0,20.88,0.0,0,2633.33,0.0,42.86,0.0,83.0,0.0,0.0,0.0,0.0,-49.66,-0.0,0.0,2.89,0.0,100.87,0.0,159.82,0.0,9.29,0.0,0.31,0.0,6.36,0.0,0.44,0.0,2.59,0.0,11.67,0.049460431654676326,4.29,0.0,0.06,0.0,0.72,0.0,29.76,-0.028086218158066605,20.12,-0.028019323671497502,5.26,-0.02772643253234757,6.77,-0.043785310734463345,0.0,0.0,0.0,0.0,7.0,0.0,0.9,0.0,0.47,0.0,0.31,0.0,0.39,-0.025000000000000022,8.57,-0.04671857619577307,8.57,-0.04671857619577307,0.0,0.0,0.0,0.0,0.0,0.0,90.34,-0.04684532601814726,0.0,0.0,0.39,-0.025000000000000022,3.42,-0.04735376044568243,2.51,0.0,4.84,0.0,4.84,0.0,8.18,0.0,6.11,0.0,5.18,0.0,6.74,0.0,25.92,0.0,8.18,0.0,0.0,0.0,0.0,0.0,0,6.96,0.0,7.56,-0.005263157894736847,-47.76,-0.0,57.16,0.0,0.0,0.0,39.48,0.0,40.3,0.0,0.016130646275355952
TEAM,-0.06074444791992492,0.1404210133,0.12107247910966339,56451000000,-0.061730241834953875,14.07124728,0.0,0.07152132297000001,-0.3075710748395132,27.34,0.0,0.9353009259,0.446134573956149,737,0.0,-4.55,-2.260387811634349,0,0.0,-1,-0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,8.52,-0.04591265397536396,-3.12,-0.0,0.68,0.0,7.14,0.0,0.0,0.0,0.0,0.0,-4.79,-0.0,-4.3,-0.0,-3.93,-0.0,-4.79,-0.0,0.0,0.0,5,0.0,46.16,0.0,2.1,0.0,0.0,0.0,54.4,0.0,-6.42,-0.0,-4.51,-0.0,-5.95,-0.0,-4.09,-0.0,5.0,0.0,0,4,0.0,0,7.29,0.0,-0.16,-0.0,0,0,-2.57,-0.0,3.96,0.0,0,-374.58,-0.0,-608.16,-0.0,23.51,0.0,0.0,0.0,0.0,-20.77,-0.0,0.0,0.73,0.0,0.0,0.0,46.05,0.0,25.28,0.0,0.28,0.0,-0.5,-0.0,5.86,0.0,0.49,0.0,0.0,0.0,0.0,0.0,34.04,0.0,0.05,0.0,-52.15,-0.039948453608247454,-57.06,-0.039717266913497126,30.81,-0.03988781551885337,164.58,-0.07751807634101218,0.0,0.0,0.19,0.0,44.41,0.0,0.0,0.0,0.0,0.0,0.06,0.0,334.2,-0.03309802106237703,0.0,0.0,0.0,0.0,0.0,0.0,107.63,-0.03314768235716851,0.0,0.0,99.92,-0.03309463905554482,0.0,0.0,0.0,0.0,31.01,-0.03305269722482067,0.73,0.0,-83.12,-0.0,-65.43,-0.0,2.68,0.0,-665.17,-0.0,-280.08,-0.0,-579.79,-0.0,-1.68,-0.0,2.68,0.0,-1.89,-0.0,0.0,0.0,0,-51.74,-0.0,5.94,0.06642728904847399,38.08,0.0,84.15,0.0,0.0,0.0,-123.97,-0.0,5.53,0.0,0.016130646275355952
MD,0.0009587727708533896,0.8457446809,-0.03647416411538574,2411000000,0.0,3.0,0.0,0.08835499307,-0.06350568269677247,1.18,0.0,-1.298405483,-0.0,144,0.0,7.33,0.523908523908524,3,0.0,-1,-0.0,1.0,0.0,15,39,11,0.0,-26.1,-0.0,1.59,0.006329113924050638,-4.35,-0.0,8.73,0.0,14.36,0.0,0.0,0.0,-0.16,-0.0,-9.53,-0.0,1.46,0.0,2.03,0.0,-0.09,-0.0,0.0,0.0,4,0.0,72.19,0.0,2.08,0.0,4.48,0.0,99.07,0.0,-16.03,-0.0,-12.28,-0.0,-13.91,-0.0,-8.39,-0.0,5.0,0.0,0,6,0.0,0,26.76,0.0,0.39,0.0,0,0,-8.85,-0.0,21.08,0.0,0,-7.52,-0.0,-790.91,-0.0,-9.86,-0.0,0.0,0.06,-0.14285714285714296,37.92,0.0,0.0,3.49,0.0,0.0,0.0,17.83,0.0,55.75,0.0,0.54,0.0,9.95,0.0,2.41,0.0,1.08,0.0,0.0,0.0,4.56,0.0,6.05,0.0,0.22,0.0,23.5,0.019965277777777814,16.87,0.0199516324062879,1.28,0.015873015873015886,20.18,0.024365482233502562,-10.99,-0.0,0.44,0.0,12.71,0.0,0.0,0.0,0.0,0.0,0.53,0.0,3.04,0.023569023569023514,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.024819855884707805,0.0,0.0,10.98,0.025210084033613404,0.0,0.0,0.0,0.0,0.99,0.020618556701030948,3.49,0.0,-13.68,-0.0,-7.59,-0.0,3.5,0.0,28.56,0.0,5.16,0.0,-33.14,-0.0,-11.79,-0.0,3.5,0.0,-1.6,-0.0,0.0,0.0,0,-54.26,-0.0,8.07,0.008750000000000036,-4.52,-0.0,25.83,0.0,0.0,0.0,-15.43,-0.0,10.86,0.0,0.016130646275355952
LMNR,-0.0409518539014943,0.001300039522,0.058720930208884456,322042000,0.07439014625814028,11.18033989,0.0,0.06200904317000001,-0.3289489174145246,1.48,0.0,1.62245695,0.0,104,0.0,3.51,-0.6414708886618999,3,3.0,-1,-0.0,1.0,0.0,18,73,15,0.0,0.0,0.0,1.36,-0.02857142857142844,-2.38,-0.0,10.05,0.0,0.1,0.0,0.3,0.0,0.29,0.0,-0.85,-0.0,-1.14,-0.0,-0.57,-0.0,-0.85,-0.0,0.0,0.0,3,0.0,83.31,0.0,-0.64,-0.0,4.75,0.0,69.25,0.0,-11.39,-0.0,-9.69,-0.0,-11.13,-0.0,-1.35,-0.0,3.0,0.0,0,5,0.0,0,9.01,0.0,0.86,0.0,0,0,9.32,0.0,7.68,0.0,0,56.73,0.0,32.43,0.0,-7.22,-0.0,0.0,0.0,0.0,26.96,0.0,0.0,1.43,0.0,0.0,0.0,17.1,0.0,44.06,0.0,0.35,0.0,-10.81,-0.0,0.72,0.0,0.89,0.0,0.0,0.0,-4.52,-0.0,0.0,0.0,0.48,0.0,-23.52,-0.026490066225165587,-47.36,-0.026515930113052397,2.91,-0.026755852842809385,392.0,-0.022175659158372586,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.34,0.0,1.74,-0.043956043956043994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,-0.04081632653061228,1.95,-0.03940886699507382,1.43,0.0,-4.45,-0.0,-4.31,-0.0,-4.73,-0.0,-9.11,-0.0,-6.27,-0.0,-9.09,-0.0,-5.72,-0.0,-4.73,-0.0,0.97,0.0,60.45,-0.039408866995073843,0,-5.13,-0.0,6.9,-0.014285714285714235,-13.6,-0.0,0.67,0.0,0.0,0.0,-10.99,-0.0,-14.74,-0.0,0.016130646275355952
CENTA,-0.011474134577985285,0.5560557507,0.04531907934422648,2854000000,0.0,6.708203932000001,0.0,0.10468984769999999,0.09105824328541083,0.7,0.0,4.697080571,0.4205043481282361,152,0.0,41.48,-0.0026448665544603635,0,0.0,1,0.0,2.5,0.0,11,127,3,-0.4,11.2,0.0,3.58,0.008450704225352183,-2.52,-0.0,19.71,0.0,11.04,0.0,0.0,0.0,1.04,0.0,2.4,0.0,4.07,0.0,5.08,0.0,2.4,0.0,0.0,0.0,6,0.0,52.77,0.0,3.7,0.0,5.72,0.0,82.69,0.0,-13.63,-0.0,3.41,0.0,-4.02,-0.0,2.22,-0.013333333333333246,7.0,0.0,0,7,0.0,0,51.53,0.0,0.59,0.0,0,0,12.07,0.0,16.5,0.0,0,133.75,0.0,225.0,0.0,22.82,0.0,0.0,1.26,-0.015625000000000014,118.37,0.0,0.0,3.51,0.0,108.45,0.0,45.13,0.0,55.05,0.0,0.37,0.0,5.56,0.0,0.84,0.0,0.38,0.0,4.64,-0.012765957446808616,9.11,0.0,9.74,0.0,0.44,0.0,14.57,0.014623955431754935,11.67,0.014782608695652167,1.15,0.017699115044247805,24.63,0.010668855149774231,14.4,0.0,0.12,0.0,27.65,0.0,0.84,0.0,0.86,0.0,0.36,0.0,2.62,0.01158301158301168,21.56,0.012682010333489882,21.56,0.012682010333489882,1.92,0.010526315789473694,13.98,0.012309920347574216,0.0,0.0,11.29,0.012556053811659085,23.31,0.026420079260237685,4.29,0.014184397163120473,1.0,0.01010101010101011,2.2,0.0,1.14,0.0,0.94,0.0,6.41,0.0,12.97,0.0,5.74,0.0,2.08,0.0,1.13,0.0,6.41,0.0,0.54,0.0,49.75,0.012619580704253968,0,0.64,0.0,5.57,-0.010657193605683768,-8.57,-0.0,27.93,0.0,0.0,0.0,0.95,0.0,4.57,0.0,0.016130646275355952
NOA,-0.03651561812582498,2.101327624,0.04808123659702321,361817000,0.0,13.22875656,0.0,0.07281230182,-0.1917448401085482,0.85,0.0,1.5910732319999998,0.0,211,0.0,7.89,-0.4224011713030747,3,0.0,1,0.0,1.0,0.0,2,48,17,0.0,35.8,0.0,1.25,0.0,-3.55,-0.0,6.65,0.0,1.18,0.0,0.12,0.0,0.46,0.0,1.21,0.0,1.77,0.0,3.81,0.0,1.21,0.0,0.0,0.0,4,0.0,0.0,0.0,0.66,0.0,0.0,0.0,29.43,0.0,-14.63,-0.0,-12.59,-0.0,-13.73,-0.0,1.64,-0.006060606060606067,8.0,0.0,0,5,-0.16666666666666666,0,11.36,0.0,0.8,0.0,0,0,6.65,0.0,11.94,0.0,0,-4.66,-0.0,21.85,0.0,-25.41,-0.0,0.0,4.2,0.019417475728155355,7.21,0.0,0.0,1.1,0.0,15.52,0.0,30.17,0.0,21.86,0.0,0.53,0.0,2.73,0.0,1.8,0.0,0.82,0.0,11.04,0.026976744186046432,10.2,0.0,3.69,0.0,0.3,0.0,11.21,-0.011463844797178043,5.2,-0.011406844106463804,1.74,-0.011363636363636374,7.81,-0.029813664596273427,22.9,0.0,0.0,0.0,11.24,0.0,5.88,0.0,0.14,0.0,0.48,0.0,1.64,-0.029585798816568074,9.05,-0.026881720430107524,9.05,-0.026881720430107524,0.25,-0.03846153846153849,16.65,-0.026315789473684376,0.0,0.0,3.28,-0.026706231454006024,6.66,-0.0205882352941176,1.64,-0.029585798816568074,0.96,-0.03030303030303033,0.92,0.0,4.85,0.0,4.85,0.0,6.12,0.0,8.94,0.0,8.02,0.0,16.77,0.0,11.26,0.0,6.12,0.0,-13.15,-0.0,23.74,-0.026650266502665113,0,1.61,0.0,7.21,0.02269503546099293,25.92,0.0,17.01,0.0,0.0,0.0,7.34,0.0,8.76,0.0,0.016130646275355952
ACGL,-0.012289600524894513,1.197516269,-0.008032576334219279,15794000000,-0.016072763518564664,10.39230485,0.0,0.08114534332000001,-0.2822857945156173,1.77,0.0,1.2684764309999998,0.0,111,0.0,9.45,-0.09134615384615395,0,0.0,1,0.0,3.0,0.0,6,118,18,0.0,21.8,0.0,0.0,0.0,-2.54,-0.0,30.31,0.0,2.23,0.0,0.0,0.0,2.07,0.0,3.33,0.0,4.21,0.0,4.37,0.0,3.33,0.0,0.0,0.0,4,-0.2,96.67,0.0,6.94,0.0,1.99,0.0,76.13,0.0,-17.66,-0.0,0.0,0.0,-3.81,-0.0,8.82,0.0,5.0,0.0,0,7,0.0,0,20.26,0.0,-0.14,-0.0,0,0,28.6,0.0,7.42,0.0,0,77.37,0.0,71.05,0.0,35.01,0.0,0.0,0.53,0.03921568627450984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,1.09,0.0,0.23,0.0,0.34,0.0,8.41,0.016928657799274556,9.36,0.0,5.05,0.0,0.3,0.0,11.43,-0.014655172413793098,10.99,-0.014349775784753376,2.37,-0.01249999999999992,14.77,0.09977661950856291,31.75,0.0,0.01,0.0,20.7,0.0,0.0,0.0,0.0,0.0,0.07,0.0,1.31,-0.015037593984962419,11.89,-0.01654259718775842,11.89,-0.01654259718775842,0.55,0.0,5.71,-0.01551724137931032,0.0,0.0,5.63,-0.01573426573426571,4.49,-0.015350877192982325,1.38,-0.02127659574468087,1.95,-0.02010050251256283,0.0,0.0,5.14,0.0,5.06,0.0,6.47,0.0,0.0,0.0,0.0,0.0,16.69,0.0,14.03,0.0,6.47,0.0,-0.27,-0.0,19.14,-0.015432098765432134,0,3.61,0.0,6.63,-0.008968609865470926,24.35,0.0,0.0,0.0,0.0,0.0,24.43,0.0,0.0,0.0,0.016130646275355952
FET,-0.04699409554482012,-6.167425968,0.044988610450667085,109365000,0.0,1.0,0.0,0.08972368471000002,-0.11329691247524305,0.13,0.0,2.5027398990000003,0.0,467,0.002145922746781116,34.45,-0.3731804949053857,-3,-0.0,-1,-0.0,1.0,0.0,2,48,17,0.0,0.0,0.0,-0.05,0.25000000000000006,-10.95,-0.0,72.78,0.0,23.04,0.0,0.0,0.0,-11.62,-0.0,-17.25,-0.0,-14.27,-0.0,-5.13,-0.0,-17.25,-0.0,0.0,0.0,3,-0.25,76.01,0.0,0.29,0.0,91.07,0.0,44.73,0.0,-63.62,-0.0,1.16,0.0,-30.23,-0.0,-0.48,-0.0,4.0,0.0,0,3,0.0,0,91.93,0.0,0.67,0.0,0,0,29.7,0.0,60.78,0.0,0,-1041.12,-0.0,-165.91,-0.0,-44.12,-0.0,0.0,0.19,0.05555555555555561,200.01,0.0,0.0,3.92,0.0,163.43,0.0,28.21,0.0,64.79,0.0,0.38,0.0,-7.53,-0.0,0.84,0.0,0.75,0.0,0.0,0.0,-28.74,-0.0,10.23,0.0,0.46,0.0,-3.91,-0.015113350125944598,-10.91,-0.015342960288808659,0.61,-0.01612903225806453,0.0,0.0,0.0,0.0,0.0,0.0,-26.07,-0.0,0.56,0.0,2.73,0.0,0.38,0.0,0.25,-0.03846153846153849,0.0,0.0,0.0,0.0,0.0,0.0,61.19,-0.04629052369077305,0.0,0.0,25.76,-0.04627915586819696,0.0,0.0,0.6,-0.04761904761904766,0.2,0.0,1.91,0.0,-19.73,-0.0,-14.42,-0.0,-59.16,-0.0,-21.34,-0.0,-11.95,-0.0,-31.39,-0.0,-196.19,-0.0,-59.16,-0.0,-0.91,-0.0,0.0,0.0,0,-23.49,-0.0,11.62,-0.015254237288135719,1.86,0.0,-52.34,-0.0,0.0,0.0,-28.95,-0.0,-90.55,-0.0,0.016130646275355952
